record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2023,2023年式,ハイブリッド(HYBRID) T,"63,000km",63000,63000,,広島県,2026-03,,,,,819000,,,81.9
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2022,2022年式,ハイブリッド(HYBRID) T,"4,000km",4000,4000,,千葉県,2025-03,,,,,162000,,,16.2
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2022,2022年式,ハイブリッド(HYBRID) X,"13,000km",13000,13000,,青森県,2025-03,,,,,811000,,,81.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2022,2022年式,ハイブリッド(HYBRID) X,"14,000km",14000,14000,,東京都,2025-04,,,,,935000,,,93.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2022,2022年式,ハイブリッド(HYBRID) T,"31,000km",31000,31000,,石川県,2025-02,,,,,1060000,,,106.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2022,2022年式,ハイブリッド(HYBRID) T,"32,000km",32000,32000,,石川県,2025-04,,,,,1015000,,,101.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) T,"7,000km",7000,7000,,福井県,2025-04,,,,,785000,,,78.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"12,000km",12000,12000,,山梨県,2025-02,,,,,985000,,,98.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"19,000km",19000,19000,,大分県,2025-11,,,,,947000,,,94.7
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,2万km,20000,20000,,広島県,2025-08,,,,,870000,,,87.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) T,"21,000km",21000,21000,,岩手県,2025-04,,,,,973000,,,97.3
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"32,000km",32000,32000,,鹿児島県,2024-07,,,,,1037000,,,103.7
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"34,000km",34000,34000,,岡山県,2025-09,,,,,945000,,,94.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X 4WD,4万km,40000,40000,,三重県,2024-12,,,,,880000,,,88.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X 4WD,4万km,40000,40000,,福井県,2025-01,,,,,950000,,,95.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"52,000km",52000,52000,,大阪府,2025-06,,,,,850000,,,85.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"53,000km",53000,53000,,山梨県,2025-05,,,,,681000,,,68.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) T,"64,000km",64000,64000,,島根県,2026-02,,,,,595000,,,59.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) X,"65,000km",65000,65000,,山口県,2026-03,,,,,695000,,,69.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2021,2021年式,ハイブリッド(HYBRID) T,"97,000km",97000,97000,,岡山県,2026-02,,,,,553000,,,55.3
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"4,000km",4000,4000,,愛知県,2025-04,,,,,918000,,,91.8
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"4,000km",4000,4000,,香川県,2025-09,,,,,964000,,,96.4
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"4,000km",4000,4000,,大分県,2025-06,,,,,1057000,,,105.7
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"11,000km",11000,11000,,岐阜県,2024-08,,,,,1035000,,,103.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"13,000km",13000,13000,,愛媛県,2024-11,,,,,905000,,,90.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"14,000km",14000,14000,,青森県,2024-10,,,,,985000,,,98.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"15,000km",15000,15000,,長野県,2025-01,,,,,964000,,,96.4
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,25周年記念車 ハイブリッド(HYBRID) Xリミテッド,"16,000km",16000,16000,,静岡県,2025-04,,,,,820000,,,82.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"17,000km",17000,17000,,岐阜県,2024-08,,,,,965000,,,96.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"19,000km",19000,19000,,鹿児島県,2025-11,,,,,845000,,,84.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"21,000km",21000,21000,,岐阜県,2025-02,,,,,895000,,,89.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"24,000km",24000,24000,,徳島県,2025-10,,,,,1017000,,,101.7
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"25,000km",25000,25000,,千葉県,2024-12,,,,,1022000,,,102.2
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"25,000km",25000,25000,,宮崎県,2025-11,,,,,1065000,,,106.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"27,000km",27000,27000,,島根県,2025-08,,,,,1035000,,,103.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T 4WD,"28,000km",28000,28000,,秋田県,2025-04,,,,,1020000,,,102.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"29,000km",29000,29000,,徳島県,2025-08,,,,,890000,,,89.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X 4WD,"29,000km",29000,29000,,岡山県,2025-07,,,,,992000,,,99.2
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,3万km,30000,30000,,東京都,2024-10,,,,,986000,,,98.6
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,3万km,30000,30000,,静岡県,2024-09,,,,,1005000,,,100.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T 4WD,"33,000km",33000,33000,,香川県,2024-11,,,,,881000,,,88.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"37,000km",37000,37000,,東京都,2025-03,,,,,845000,,,84.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X 4WD,"37,000km",37000,37000,,沖縄県,2025-10,,,,,989000,,,98.9
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"39,000km",39000,39000,,東京都,2025-10,,,,,905000,,,90.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T 4WD,"43,000km",43000,43000,,兵庫県,2025-06,,,,,837000,,,83.7
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,5万km,50000,50000,,山口県,2026-02,,,,,701000,,,70.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T 4WD,"52,000km",52000,52000,,滋賀県,2024-12,,,,,905000,,,90.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T 4WD,"54,000km",54000,54000,,広島県,2026-01,,,,,728000,,,72.8
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,X 4WD,"58,000km",58000,58000,,石川県,2024-09,,,,,269000,,,26.9
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"58,000km",58000,58000,,愛媛県,2025-10,,,,,875000,,,87.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,6万km,60000,60000,,神奈川県,2025-02,,,,,795000,,,79.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"62,000km",62000,62000,,京都府,2025-01,,,,,653000,,,65.3
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"64,000km",64000,64000,,高知県,2025-10,,,,,761000,,,76.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,7万km,70000,70000,,熊本県,2025-11,,,,,590000,,,59.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) X,"83,000km",83000,83000,,宮崎県,2025-06,,,,,506000,,,50.6
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"88,000km",88000,88000,,福島県,2025-03,,,,,425000,,,42.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2020,2020年式,ハイブリッド(HYBRID) T,"109,000km",109000,109000,,徳島県,2026-03,,,,,409000,,,40.9
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"8,000km",8000,8000,,宮城県,2024-10,,,,,1018000,,,101.8
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"14,000km",14000,14000,,愛知県,2024-09,,,,,1055000,,,105.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"22,000km",22000,22000,,静岡県,2024-08,,,,,1051000,,,105.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"25,000km",25000,25000,,栃木県,2025-04,,,,,710000,,,71.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"25,000km",25000,25000,,愛知県,2024-08,,,,,960000,,,96.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T 4WD,"26,000km",26000,26000,,岩手県,2024-07,,,,,985000,,,98.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"28,000km",28000,28000,,秋田県,2024-10,,,,,845000,,,84.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"29,000km",29000,29000,,福井県,2025-02,,,,,753000,,,75.3
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"31,000km",31000,31000,,香川県,2025-08,,,,,669000,,,66.9
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"31,000km",31000,31000,,秋田県,2024-07,,,,,890000,,,89.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"33,000km",33000,33000,,徳島県,2026-02,,,,,660000,,,66.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"33,000km",33000,33000,,愛知県,2025-02,,,,,900000,,,90.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"36,000km",36000,36000,,佐賀県,2024-11,,,,,829000,,,82.9
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"36,000km",36000,36000,,山形県,2025-03,,,,,960000,,,96.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,25周年記念車 ハイブリッド(HYBRID) Xリミテッド,"37,000km",37000,37000,,大阪府,2025-01,,,,,860000,,,86.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"44,000km",44000,44000,,熊本県,2025-10,,,,,723000,,,72.3
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,"44,000km",44000,44000,,福岡県,2025-08,,,,,763000,,,76.3
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T 4WD,"44,000km",44000,44000,,山口県,2025-09,,,,,970000,,,97.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X 4WD,"45,000km",45000,45000,,三重県,2024-08,,,,,1001000,,,100.1
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,25周年記念車 ハイブリッド(HYBRID) Xリミテッド,"46,000km",46000,46000,,宮城県,2025-10,,,,,802000,,,80.2
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,25周年記念車 ハイブリッド(HYBRID) Xリミテッド,"48,000km",48000,48000,,高知県,2025-09,,,,,805000,,,80.5
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,25周年記念車 ハイブリッド(HYBRID) Xリミテッド,5万km,50000,50000,,愛媛県,2026-02,,,,,438000,,,43.8
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) X,5万km,50000,50000,,山口県,2025-08,,,,,707000,,,70.7
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"52,000km",52000,52000,,三重県,2025-05,,,,,698000,,,69.8
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"52,000km",52000,52000,,高知県,2024-11,,,,,910000,,,91.0
appraisal_record,kurumaerabi_kaitori,9/20085,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20085/,20260416_145556,スズキ,ワゴンRスティングレー,suzuki-wagon-r-stingray,,2019,2019年式,ハイブリッド(HYBRID) T,"53,000km",53000,53000,,香川県,2026-02,,,,,585000,,,58.5
