record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2013,2013年式,1.5 15M,"39,000km",39000,39000,,宮崎県,2022-10,,,,,245000,,,24.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2013,2013年式,1.5 15M SV+プラズマ,"137,000km",137000,137000,,岐阜県,2022-11,,,,,201000,,,20.1
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2013,2013年式,1.5 15M SV+プラズマ,"184,000km",184000,184000,,兵庫県,2022-09,,,,,213000,,,21.3
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"4,000km",4000,4000,,岐阜県,2025-04,,,,,196000,,,19.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"11,000km",11000,11000,,和歌山県,2023-03,,,,,171000,,,17.1
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"11,000km",11000,11000,,岡山県,2023-03,,,,,171000,,,17.1
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"15,000km",15000,15000,,千葉県,2023-03,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"15,000km",15000,15000,,鹿児島県,2024-02,,,,,264000,,,26.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"16,000km",16000,16000,,大分県,2023-10,,,,,150000,,,15.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"25,000km",25000,25000,,東京都,2020-09,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"26,000km",26000,26000,,山形県,2023-01,,,,,195000,,,19.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR 4WD,"28,000km",28000,28000,,山口県,2025-12,,,,,220000,,,22.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"28,000km",28000,28000,,千葉県,2022-06,,,,,225000,,,22.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"31,000km",31000,31000,,岩手県,2023-04,,,,,220000,,,22.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15G,"34,000km",34000,34000,,茨城県,2021-08,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"35,000km",35000,35000,,愛知県,2025-03,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"35,000km",35000,35000,,広島県,2021-09,,,,,180000,,,18.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"37,000km",37000,37000,,長崎県,2020-08,,,,,216000,,,21.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"38,000km",38000,38000,,沖縄県,2024-01,,,,,210000,,,21.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"39,000km",39000,39000,,埼玉県,2022-06,,,,,161000,,,16.1
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,4万km,40000,40000,,東京都,2024-12,,,,,255000,,,25.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"41,000km",41000,41000,,徳島県,2025-05,,,,,180000,,,18.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"41,000km",41000,41000,,秋田県,2023-01,,,,,196000,,,19.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"42,000km",42000,42000,,福井県,2020-07,,,,,57000,,,5.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"42,000km",42000,42000,,兵庫県,2024-04,,,,,144000,,,14.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"42,000km",42000,42000,,愛知県,2023-07,,,,,158000,,,15.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"43,000km",43000,43000,,山梨県,2021-11,,,,,171000,,,17.1
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,"46,000km",46000,46000,,静岡県,2024-01,,,,,105000,,,10.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"47,000km",47000,47000,,栃木県,2023-06,,,,,109000,,,10.9
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"47,000km",47000,47000,,石川県,2020-07,,,,,232000,,,23.2
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"48,000km",48000,48000,,熊本県,2023-10,,,,,127000,,,12.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,"48,000km",48000,48000,,和歌山県,2022-12,,,,,220000,,,22.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"48,000km",48000,48000,,佐賀県,2025-03,,,,,238000,,,23.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,5万km,50000,50000,,鳥取県,2022-02,,,,,208000,,,20.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"51,000km",51000,51000,,秋田県,2024-06,,,,,144000,,,14.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"54,000km",54000,54000,,石川県,2022-07,,,,,130000,,,13.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"56,000km",56000,56000,,石川県,2026-02,,,,,238000,,,23.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"58,000km",58000,58000,,静岡県,2025-04,,,,,177000,,,17.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"58,000km",58000,58000,,栃木県,2021-08,,,,,243000,,,24.3
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR 4WD,"59,000km",59000,59000,,北海道,2023-04,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"59,000km",59000,59000,,三重県,2023-08,,,,,126000,,,12.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"59,000km",59000,59000,,山梨県,2021-04,,,,,173000,,,17.3
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"61,000km",61000,61000,,京都府,2021-01,,,,,187000,,,18.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"62,000km",62000,62000,,群馬県,2025-02,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"62,000km",62000,62000,,愛知県,2023-12,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"62,000km",62000,62000,,長野県,2021-07,,,,,93000,,,9.3
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"62,000km",62000,62000,,兵庫県,2020-10,,,,,156000,,,15.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"62,000km",62000,62000,,岡山県,2021-05,,,,,209000,,,20.9
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"62,000km",62000,62000,,沖縄県,2023-04,,,,,214000,,,21.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"63,000km",63000,63000,,山梨県,2021-06,,,,,195000,,,19.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"63,000km",63000,63000,,大阪府,2021-12,,,,,252000,,,25.2
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"65,000km",65000,65000,,東京都,2023-03,,,,,210000,,,21.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"65,000km",65000,65000,,鹿児島県,2022-10,,,,,227000,,,22.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR 4WD,"67,000km",67000,67000,,岩手県,2025-11,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"67,000km",67000,67000,,愛知県,2022-11,,,,,268000,,,26.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"69,000km",69000,69000,,佐賀県,2021-10,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"69,000km",69000,69000,,福岡県,2022-01,,,,,78000,,,7.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"71,000km",71000,71000,,沖縄県,2020-12,,,,,102000,,,10.2
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"71,000km",71000,71000,,山口県,2025-06,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15S,"72,000km",72000,72000,,徳島県,2021-09,,,,,159000,,,15.9
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"73,000km",73000,73000,,福井県,2021-04,,,,,215000,,,21.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"74,000km",74000,74000,,埼玉県,2022-04,,,,,177000,,,17.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"74,000km",74000,74000,,宮城県,2022-12,,,,,220000,,,22.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"74,000km",74000,74000,,富山県,2023-02,,,,,272000,,,27.2
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"75,000km",75000,75000,,徳島県,2025-12,,,,,234000,,,23.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"77,000km",77000,77000,,秋田県,2022-04,,,,,127000,,,12.7
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR 4WD,"78,000km",78000,78000,,鹿児島県,2020-09,,,,,155000,,,15.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"79,000km",79000,79000,,宮城県,2024-04,,,,,228000,,,22.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,8万km,80000,80000,,鳥取県,2022-11,,,,,156000,,,15.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,8万km,80000,80000,,山口県,2021-09,,,,,195000,,,19.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"81,000km",81000,81000,,群馬県,2024-08,,,,,122000,,,12.2
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"81,000km",81000,81000,,青森県,2023-03,,,,,228000,,,22.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M,"87,000km",87000,87000,,宮城県,2020-11,,,,,125000,,,12.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"89,000km",89000,89000,,山形県,2024-06,,,,,116000,,,11.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"89,000km",89000,89000,,宮城県,2025-11,,,,,208000,,,20.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,"89,000km",89000,89000,,香川県,2025-02,,,,,219000,,,21.9
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,"89,000km",89000,89000,,滋賀県,2025-02,,,,,219000,,,21.9
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"91,000km",91000,91000,,滋賀県,2022-12,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"92,000km",92000,92000,,千葉県,2022-05,,,,,130000,,,13.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"94,000km",94000,94000,,熊本県,2020-08,,,,,93000,,,9.3
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"95,000km",95000,95000,,秋田県,2020-11,,,,,96000,,,9.6
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"95,000km",95000,95000,,沖縄県,2024-09,,,,,130000,,,13.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"96,000km",96000,96000,,北海道,2025-02,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ アンシャンテ 助手席回転シート 4WD,"98,000km",98000,98000,,千葉県,2022-07,,,,,195000,,,19.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"102,000km",102000,102000,,兵庫県,2023-03,,,,,204000,,,20.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"102,000km",102000,102000,,鳥取県,2023-03,,,,,204000,,,20.4
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"106,000km",106000,106000,,京都府,2023-03,,,,,225000,,,22.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M FOUR SV+プラズマ 4WD,"106,000km",106000,106000,,奈良県,2023-03,,,,,225000,,,22.5
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,11万km,110000,110000,,青森県,2020-12,,,,,60000,,,6.0
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス パフォーマンススペック SV＋プラズマ,11万km,110000,110000,,長崎県,2024-03,,,,,138000,,,13.8
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 アクシス SV+プラズマ,"118,000km",118000,118000,,宮崎県,2020-09,,,,,99000,,,9.9
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ,"119,000km",119000,119000,,奈良県,2022-09,,,,,252000,,,25.2
appraisal_record,kurumaerabi_kaitori,2/5574,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/5574/,20260416_012615,日産,ティーダ,nissan-tiida,,2012,2012年式,1.5 15M SV+プラズマ アンシャンテ 助手席スライドアップシート 4WD,"124,000km",124000,124000,,沖縄県,2022-10,,,,,213000,,,21.3
