record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2025,2025年式,X,"3,000km",3000,3000,,茨城県,2025-11,,,,,952000,,,95.2
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2025,2025年式,X,"3,000km",3000,3000,,島根県,2025-08,,,,,1040000,,,104.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2025,2025年式,X,"4,000km",4000,4000,,山梨県,2026-02,,,,,1001000,,,100.1
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2025,2025年式,X,"7,000km",7000,7000,,福井県,2026-02,,,,,1204000,,,120.4
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"1,000km",1000,1000,,熊本県,2024-10,,,,,903000,,,90.3
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"1,000km",1000,1000,,鳥取県,2024-11,,,,,1085000,,,108.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X 90周年記念車,"1,000km",1000,1000,,山形県,2024-12,,,,,1251000,,,125.1
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"1,000km",1000,1000,,三重県,2024-08,,,,,1445000,,,144.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"1,000km",1000,1000,,福岡県,2024-09,,,,,1575000,,,157.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"1,000km",1000,1000,,千葉県,2025-01,,,,,1613000,,,161.3
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"2,000km",2000,2000,,群馬県,2025-11,,,,,975000,,,97.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,山口県,2025-12,,,,,1000000,,,100.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,青森県,2025-03,,,,,1046000,,,104.6
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,長崎県,2025-03,,,,,1143000,,,114.3
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,和歌山県,2025-06,,,,,1185000,,,118.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,千葉県,2025-05,,,,,1199000,,,119.9
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,愛媛県,2024-12,,,,,1231000,,,123.1
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"2,000km",2000,2000,,大阪府,2025-12,,,,,1275000,,,127.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X 90周年記念車,"2,000km",2000,2000,,山口県,2024-12,,,,,1340000,,,134.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"2,000km",2000,2000,,京都府,2025-10,,,,,1525000,,,152.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"3,000km",3000,3000,,徳島県,2025-12,,,,,805000,,,80.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,S,"3,000km",3000,3000,,熊本県,2025-04,,,,,1164000,,,116.4
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"3,000km",3000,3000,,福島県,2024-12,,,,,1180000,,,118.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"3,000km",3000,3000,,神奈川県,2025-02,,,,,1193000,,,119.3
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X 90周年記念車,"3,000km",3000,3000,,徳島県,2024-12,,,,,1205000,,,120.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"3,000km",3000,3000,,富山県,2025-07,,,,,1525000,,,152.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"3,000km",3000,3000,,大阪府,2025-07,,,,,1525000,,,152.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"3,000km",3000,3000,,京都府,2025-11,,,,,1565000,,,156.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"4,000km",4000,4000,,静岡県,2026-01,,,,,1135000,,,113.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"4,000km",4000,4000,,埼玉県,2025-10,,,,,1258000,,,125.8
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"4,000km",4000,4000,,佐賀県,2025-04,,,,,1374000,,,137.4
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"4,000km",4000,4000,,広島県,2026-01,,,,,1432000,,,143.2
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"5,000km",5000,5000,,兵庫県,2025-11,,,,,1158000,,,115.8
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"5,000km",5000,5000,,奈良県,2025-06,,,,,1270000,,,127.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"6,000km",6000,6000,,東京都,2025-02,,,,,1102000,,,110.2
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"6,000km",6000,6000,,愛知県,2025-05,,,,,1140000,,,114.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"6,000km",6000,6000,,奈良県,2025-06,,,,,1434000,,,143.4
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"6,000km",6000,6000,,福井県,2025-06,,,,,1434000,,,143.4
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"6,000km",6000,6000,,静岡県,2025-04,,,,,1437000,,,143.7
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"6,000km",6000,6000,,栃木県,2025-11,,,,,1500000,,,150.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"9,000km",9000,9000,,大阪府,2025-10,,,,,1144000,,,114.4
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X 90周年記念車,"9,000km",9000,9000,,岐阜県,2026-02,,,,,1195000,,,119.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"9,000km",9000,9000,,広島県,2025-08,,,,,1460000,,,146.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,1万km,10000,10000,,兵庫県,2025-10,,,,,1001000,,,100.1
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"14,000km",14000,14000,,山口県,2025-09,,,,,1090000,,,109.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,"15,000km",15000,15000,,長野県,2026-02,,,,,755000,,,75.5
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,"18,000km",18000,18000,,香川県,2024-12,,,,,1310000,,,131.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,0万km,0,0,,大分県,2024-10,,,,,883000,,,88.3
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,X,0万km,0,0,,佐賀県,2024-09,,,,,1012000,,,101.2
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2024,2024年式,G,0万km,0,0,,秋田県,2025-01,,,,,1520000,,,152.0
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2023,2023年式,X,"1,000km",1000,1000,,沖縄県,2024-10,,,,,778000,,,77.8
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2023,2023年式,G,"1,000km",1000,1000,,愛知県,2023-05,,,,,1052000,,,105.2
appraisal_record,kurumaerabi_kaitori,2/23278,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/23278/,20260416_012546,日産,サクラ,nissan-sakura,,2023,2023年式,G,"1,000km",1000,1000,,福岡県,2024-11,,,,,1517000,,,151.7
