record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2023,2023年式,G,"8,000km",8000,8000,,鳥取県,2025-06,,,,,460000,,,46.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,G スマートアシスト,"6,000km",6000,6000,,栃木県,2025-02,,,,,860000,,,86.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,L 4WD,"8,000km",8000,8000,,新潟県,2025-10,,,,,630000,,,63.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,G,"11,000km",11000,11000,,島根県,2025-05,,,,,480000,,,48.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,G スマートアシスト,"12,000km",12000,12000,,沖縄県,2024-10,,,,,535000,,,53.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,L スマートアシスト,"13,000km",13000,13000,,秋田県,2024-09,,,,,500000,,,50.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,G スマートアシスト,"22,000km",22000,22000,,群馬県,2025-02,,,,,805000,,,80.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,L 4WD,"25,000km",25000,25000,,千葉県,2025-02,,,,,810000,,,81.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,L スマートアシスト 4WD,"26,000km",26000,26000,,神奈川県,2025-09,,,,,797000,,,79.7
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,G,"27,000km",27000,27000,,東京都,2025-10,,,,,795000,,,79.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,L スマートアシスト 4WD,"28,000km",28000,28000,,大阪府,2025-08,,,,,750000,,,75.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,G スマートアシスト,"36,000km",36000,36000,,東京都,2025-03,,,,,705000,,,70.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2022,2022年式,L スマートアシスト,"52,000km",52000,52000,,兵庫県,2025-08,,,,,725000,,,72.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,G スマートアシスト,2万km,20000,20000,,兵庫県,2024-12,,,,,775000,,,77.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,カスタムR スマートアシスト,"21,000km",21000,21000,,京都府,2025-04,,,,,391000,,,39.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"23,000km",23000,23000,,奈良県,2025-08,,,,,485000,,,48.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"23,000km",23000,23000,,宮崎県,2025-09,,,,,690000,,,69.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"28,000km",28000,28000,,千葉県,2025-12,,,,,521000,,,52.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,G スマートアシスト,"46,000km",46000,46000,,神奈川県,2025-02,,,,,763000,,,76.3
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,カスタムR スマートアシスト,"49,000km",49000,49000,,熊本県,2024-06,,,,,862000,,,86.2
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,G スマートアシスト,"53,000km",53000,53000,,大分県,2025-08,,,,,655000,,,65.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"58,000km",58000,58000,,和歌山県,2025-06,,,,,534000,,,53.4
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"59,000km",59000,59000,,岡山県,2025-06,,,,,506000,,,50.6
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"63,000km",63000,63000,,広島県,2025-06,,,,,499000,,,49.9
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2021,2021年式,L スマートアシスト,"84,000km",84000,84000,,鹿児島県,2025-08,,,,,438000,,,43.8
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,G スマートアシスト,"9,000km",9000,9000,,鳥取県,2025-07,,,,,601000,,,60.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト 4WD,"11,000km",11000,11000,,東京都,2025-12,,,,,655000,,,65.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"16,000km",16000,16000,,奈良県,2024-12,,,,,322000,,,32.2
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,G スマートアシスト,"16,000km",16000,16000,,島根県,2025-11,,,,,331000,,,33.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,"17,000km",17000,17000,,福岡県,2025-02,,,,,614000,,,61.4
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,G スマートアシスト,"17,000km",17000,17000,,山口県,2025-06,,,,,673000,,,67.3
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"18,000km",18000,18000,,千葉県,2025-12,,,,,434000,,,43.4
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,"18,000km",18000,18000,,大分県,2024-04,,,,,730000,,,73.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,2万km,20000,20000,,東京都,2025-08,,,,,570000,,,57.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"21,000km",21000,21000,,岡山県,2025-11,,,,,47000,,,4.7
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"25,000km",25000,25000,,神奈川県,2025-12,,,,,700000,,,70.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,"29,000km",29000,29000,,富山県,2025-01,,,,,615000,,,61.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,3万km,30000,30000,,沖縄県,2025-07,,,,,645000,,,64.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"33,000km",33000,33000,,鳥取県,2025-07,,,,,417000,,,41.7
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムRS スマートアシスト,"33,000km",33000,33000,,京都府,2025-09,,,,,482000,,,48.2
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"33,000km",33000,33000,,広島県,2024-10,,,,,615000,,,61.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,G スマートアシスト,"37,000km",37000,37000,,神奈川県,2025-02,,,,,745000,,,74.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"39,000km",39000,39000,,新潟県,2025-02,,,,,400000,,,40.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"44,000km",44000,44000,,神奈川県,2024-04,,,,,618000,,,61.8
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"57,000km",57000,57000,,香川県,2025-05,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,G スマートアシスト,"58,000km",58000,58000,,岐阜県,2025-12,,,,,514000,,,51.4
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"66,000km",66000,66000,,岡山県,2025-07,,,,,370000,,,37.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,"67,000km",67000,67000,,岩手県,2024-11,,,,,710000,,,71.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,"67,000km",67000,67000,,東京都,2024-10,,,,,725000,,,72.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムRS スマートアシスト アルファ,"77,000km",77000,77000,,兵庫県,2024-11,,,,,570000,,,57.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"83,000km",83000,83000,,島根県,2025-08,,,,,256000,,,25.6
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,G スマートアシスト 4WD,"85,000km",85000,85000,,沖縄県,2025-08,,,,,325000,,,32.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"91,000km",91000,91000,,青森県,2025-09,,,,,320000,,,32.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"99,000km",99000,99000,,山形県,2025-05,,,,,305000,,,30.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムRS スマートアシスト,11万km,110000,110000,,福岡県,2025-01,,,,,435000,,,43.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,カスタムR スマートアシスト,"178,000km",178000,178000,,山形県,2025-10,,,,,218000,,,21.8
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2020,2020年式,L スマートアシスト,"188,000km",188000,188000,,青森県,2024-11,,,,,277000,,,27.7
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,1万km,10000,10000,,岡山県,2025-08,,,,,558000,,,55.8
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト 4WD,"11,000km",11000,11000,,宮城県,2025-09,,,,,739000,,,73.9
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"12,000km",12000,12000,,鳥取県,2024-04,,,,,685000,,,68.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"12,000km",12000,12000,,茨城県,2024-09,,,,,810000,,,81.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"16,000km",16000,16000,,広島県,2025-04,,,,,625000,,,62.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト,"18,000km",18000,18000,,大阪府,2025-05,,,,,640000,,,64.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト 4WD,"24,000km",24000,24000,,千葉県,2026-01,,,,,575000,,,57.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"25,000km",25000,25000,,富山県,2024-06,,,,,803000,,,80.3
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"26,000km",26000,26000,,島根県,2024-05,,,,,283000,,,28.3
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"35,000km",35000,35000,,佐賀県,2026-03,,,,,71000,,,7.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト 4WD,"37,000km",37000,37000,,和歌山県,2024-11,,,,,795000,,,79.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"38,000km",38000,38000,,石川県,2025-02,,,,,615000,,,61.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"39,000km",39000,39000,,山梨県,2025-10,,,,,445000,,,44.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト 4WD,4万km,40000,40000,,広島県,2025-11,,,,,430000,,,43.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"42,000km",42000,42000,,新潟県,2024-04,,,,,640000,,,64.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"43,000km",43000,43000,,大阪府,2026-02,,,,,550000,,,55.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"43,000km",43000,43000,,富山県,2024-04,,,,,574000,,,57.4
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"44,000km",44000,44000,,山口県,2025-06,,,,,312000,,,31.2
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムRS スマートアシスト,"44,000km",44000,44000,,高知県,2025-10,,,,,785000,,,78.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト 4WD,"44,000km",44000,44000,,東京都,2025-06,,,,,820000,,,82.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト,"45,000km",45000,45000,,石川県,2025-10,,,,,610000,,,61.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト,"47,000km",47000,47000,,広島県,2025-11,,,,,745000,,,74.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト 4WD,"47,000km",47000,47000,,山口県,2024-10,,,,,850000,,,85.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"48,000km",48000,48000,,長崎県,2025-01,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト,"48,000km",48000,48000,,長崎県,2025-01,,,,,460000,,,46.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト 4WD,"48,000km",48000,48000,,青森県,2025-07,,,,,820000,,,82.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"49,000km",49000,49000,,愛知県,2026-01,,,,,595000,,,59.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト,5万km,50000,50000,,鳥取県,2024-09,,,,,845000,,,84.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムRS スマートアシスト 4WD,"51,000km",51000,51000,,愛媛県,2025-10,,,,,505000,,,50.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト,"52,000km",52000,52000,,佐賀県,2025-03,,,,,735000,,,73.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"53,000km",53000,53000,,山口県,2025-11,,,,,515000,,,51.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,G スマートアシスト 4WD,"55,000km",55000,55000,,徳島県,2024-10,,,,,843000,,,84.3
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L 4WD,"57,000km",57000,57000,,石川県,2025-01,,,,,415000,,,41.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"57,000km",57000,57000,,秋田県,2025-09,,,,,520000,,,52.0
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L,6万km,60000,60000,,石川県,2024-04,,,,,461000,,,46.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L,"63,000km",63000,63000,,福島県,2025-04,,,,,273000,,,27.3
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR スマートアシスト,7万km,70000,70000,,神奈川県,2024-05,,,,,711000,,,71.1
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,カスタムR,"74,000km",74000,74000,,宮城県,2024-11,,,,,625000,,,62.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"83,000km",83000,83000,,静岡県,2024-08,,,,,225000,,,22.5
appraisal_record,kurumaerabi_kaitori,7/13983,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/13983/,20260416_145816,スバル,ステラ,subaru-stella,,2019,2019年式,L スマートアシスト,"84,000km",84000,84000,,岩手県,2024-10,,,,,180000,,,18.0
