model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-alto,アルト,root,root,0万km,0,0,11,88.4,94.5,93.9,94.5,94.5,94.5,94.5,2023年式 / ハイブリッド(HYBRID) S / 0万km / 鹿児島県,2023年式,ハイブリッド(HYBRID) S,0万km,鹿児島県,manen
suzuki-alto,アルト,root,root,"1,000km",1000,1000,4,28.5,86.8,69.7,81.7,79.4,84.0,86.8,"2023年式 / A 4WD / 1,000km / 滋賀県",2023年式,A 4WD,"1,000km",滋賀県,manen
suzuki-alto,アルト,root,root,"2,000km",2000,2000,5,58.0,85.4,75.8,83.4,68.0,84.3,85.4,"2025年式 / L / 2,000km / 長崎県",2025年式,L,"2,000km",長崎県,manen
suzuki-alto,アルト,root,root,"3,000km",3000,3000,9,26.5,93.8,66.1,81.2,28.0,86.6,93.8,"2024年式 / ハイブリッド(HYBRID) S / 3,000km / 香川県",2024年式,ハイブリッド(HYBRID) S,"3,000km",香川県,manen
suzuki-alto,アルト,root,root,"4,000km",4000,4000,10,10.7,99.1,62.9,79.8,37.5,84.5,99.1,"2022年式 / ハイブリッド(HYBRID) X / 4,000km / 滋賀県",2022年式,ハイブリッド(HYBRID) X,"4,000km",滋賀県,manen
suzuki-alto,アルト,root,root,"5,000km",5000,5000,12,19.0,96.7,46.9,41.4,24.1,69.4,96.7,"2024年式 / ハイブリッド(HYBRID) S / 5,000km / 岐阜県",2024年式,ハイブリッド(HYBRID) S,"5,000km",岐阜県,manen
suzuki-alto,アルト,root,root,"6,000km",6000,6000,8,34.8,98.5,72.2,74.0,70.0,79.0,98.5,"2023年式 / ハイブリッド(HYBRID) X / 6,000km / 佐賀県",2023年式,ハイブリッド(HYBRID) X,"6,000km",佐賀県,manen
suzuki-alto,アルト,root,root,"7,000km",7000,7000,19,34.0,85.1,74.6,81.0,77.0,81.0,85.1,"2022年式 / L / 7,000km / 香川県",2022年式,L,"7,000km",香川県,manen
suzuki-alto,アルト,root,root,"8,000km",8000,8000,10,16.3,85.7,39.6,31.6,24.6,46.5,85.7,"2023年式 / ハイブリッド(HYBRID) S / 8,000km / 和歌山県",2023年式,ハイブリッド(HYBRID) S,"8,000km",和歌山県,manen
suzuki-alto,アルト,root,root,"9,000km",9000,9000,15,5.0,88.0,35.5,35.5,20.0,40.0,88.0,"2025年式 / ハイブリッド(HYBRID) S / 9,000km / 大分県",2025年式,ハイブリッド(HYBRID) S,"9,000km",大分県,manen
suzuki-alto,アルト,root,root,1万km,10000,10000,29,18.6,96.5,80.9,88.7,74.4,92.0,96.5,2022年式 / ハイブリッド(HYBRID) X / 1万km / 福岡県,2022年式,ハイブリッド(HYBRID) X,1万km,福岡県,manen
suzuki-alto,アルト,root,root,"11,000km",11000,11000,27,5.0,84.9,53.4,62.5,31.0,68.2,84.9,"2023年式 / L / 11,000km / 東京都",2023年式,L,"11,000km",東京都,manen
suzuki-alto,アルト,root,root,"12,000km",12000,12000,18,5.0,84.3,40.8,30.9,19.1,66.4,84.3,"2023年式 / L / 12,000km / 神奈川県",2023年式,L,"12,000km",神奈川県,manen
suzuki-alto,アルト,root,root,"13,000km",13000,13000,13,19.6,88.8,46.6,35.0,20.0,85.5,88.8,"2022年式 / ハイブリッド(HYBRID) X / 13,000km / 新潟県",2022年式,ハイブリッド(HYBRID) X,"13,000km",新潟県,manen
suzuki-alto,アルト,root,root,"14,000km",14000,14000,16,5.0,83.5,28.4,27.6,19.5,31.7,83.5,"2023年式 / ハイブリッド(HYBRID) S / 14,000km / 沖縄県",2023年式,ハイブリッド(HYBRID) S,"14,000km",沖縄県,manen
suzuki-alto,アルト,root,root,"15,000km",15000,15000,13,5.0,87.3,39.1,30.5,23.0,46.5,87.3,"2023年式 / L 4WD / 15,000km / 徳島県",2023年式,L 4WD,"15,000km",徳島県,manen
suzuki-alto,アルト,root,root,"16,000km",16000,16000,23,17.9,98.0,58.5,65.0,32.3,85.7,98.0,"2023年式 / ハイブリッド(HYBRID) S / 16,000km / 兵庫県",2023年式,ハイブリッド(HYBRID) S,"16,000km",兵庫県,manen
suzuki-alto,アルト,root,root,"17,000km",17000,17000,14,15.0,87.0,43.1,38.6,22.1,62.4,87.0,"2023年式 / ハイブリッド(HYBRID) X / 17,000km / 島根県",2023年式,ハイブリッド(HYBRID) X,"17,000km",島根県,manen
suzuki-alto,アルト,root,root,"18,000km",18000,18000,9,5.0,64.3,31.4,26.7,17.1,35.7,64.3,"2021年式 / A / 18,000km / 東京都",2021年式,A,"18,000km",東京都,manen
suzuki-alto,アルト,root,root,"19,000km",19000,19000,10,18.0,84.0,49.5,51.0,22.2,78.6,84.0,"2022年式 / ハイブリッド(HYBRID) S / 19,000km / 鹿児島県",2022年式,ハイブリッド(HYBRID) S,"19,000km",鹿児島県,manen
suzuki-alto,アルト,root,root,2万km,20000,20000,13,15.3,75.0,38.2,37.1,27.8,41.0,75.0,2023年式 / A 4WD / 2万km / 香川県,2023年式,A 4WD,2万km,香川県,manen
suzuki-alto,アルト,root,root,"21,000km",21000,21000,7,5.2,43.3,27.2,30.5,25.5,30.5,43.3,"2020年式 / F 4WD / 21,000km / 富山県",2020年式,F 4WD,"21,000km",富山県,manen
suzuki-alto,アルト,root,root,"22,000km",22000,22000,11,5.0,77.0,39.1,40.9,18.9,58.0,77.0,"2022年式 / ハイブリッド(HYBRID) X / 22,000km / 青森県",2022年式,ハイブリッド(HYBRID) X,"22,000km",青森県,manen
suzuki-alto,アルト,root,root,"23,000km",23000,23000,7,12.0,95.0,40.5,29.7,27.0,30.0,95.0,"2022年式 / ハイブリッド(HYBRID) X / 23,000km / 青森県",2022年式,ハイブリッド(HYBRID) X,"23,000km",青森県,manen
suzuki-alto,アルト,root,root,"24,000km",24000,24000,22,5.0,95.0,36.8,25.1,18.5,52.7,95.0,"2022年式 / ハイブリッド(HYBRID) X / 24,000km / 埼玉県",2022年式,ハイブリッド(HYBRID) X,"24,000km",埼玉県,manen
