model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-mira-es,ミライース,root,root,0万km,0,0,5,58.6,92.5,76.9,76.3,75.0,82.3,92.5,2023年式 / X リミテッド SAIII / 0万km / 愛媛県,2023年式,X リミテッド SAIII,0万km,愛媛県,manen
daihatsu-mira-es,ミライース,root,root,"1,000km",1000,1000,7,74.8,94.6,84.7,86.5,77.0,92.4,94.6,"2025年式 / X SAIII / 1,000km / 奈良県",2025年式,X SAIII,"1,000km",奈良県,manen
daihatsu-mira-es,ミライース,root,root,"2,000km",2000,2000,14,10.0,94.8,82.0,90.2,81.2,93.0,94.8,"2024年式 / X リミテッド SAIII / 2,000km / 宮崎県",2024年式,X リミテッド SAIII,"2,000km",宮崎県,manen
daihatsu-mira-es,ミライース,root,root,"3,000km",3000,3000,8,38.5,94.1,75.8,78.2,72.0,81.8,94.1,"2023年式 / X SAIII / 3,000km / 秋田県",2023年式,X SAIII,"3,000km",秋田県,manen
daihatsu-mira-es,ミライース,root,root,"4,000km",4000,4000,13,24.4,91.4,75.0,78.5,70.2,89.0,91.4,"2025年式 / X SAIII / 4,000km / 徳島県",2025年式,X SAIII,"4,000km",徳島県,manen
daihatsu-mira-es,ミライース,root,root,"5,000km",5000,5000,10,29.2,93.0,77.2,80.5,70.2,91.0,93.0,"2024年式 / X SAIII / 5,000km / 愛知県",2024年式,X SAIII,"5,000km",愛知県,manen
daihatsu-mira-es,ミライース,root,root,"6,000km",6000,6000,11,5.0,95.0,64.6,80.0,37.9,82.7,95.0,"2023年式 / X SAIII / 6,000km / 和歌山県",2023年式,X SAIII,"6,000km",和歌山県,manen
daihatsu-mira-es,ミライース,root,root,"7,000km",7000,7000,8,53.0,88.5,76.1,80.5,70.0,86.4,88.5,"2023年式 / X リミテッド SAIII / 7,000km / 三重県",2023年式,X リミテッド SAIII,"7,000km",三重県,manen
daihatsu-mira-es,ミライース,root,root,"8,000km",8000,8000,15,12.2,85.3,52.6,54.0,40.1,71.3,85.3,"2022年式 / X リミテッド SAIII / 8,000km / 神奈川県",2022年式,X リミテッド SAIII,"8,000km",神奈川県,manen
daihatsu-mira-es,ミライース,root,root,"9,000km",9000,9000,12,12.6,95.3,45.3,33.8,26.0,64.2,95.3,"2022年式 / G リミテッド SAIII / 9,000km / 鹿児島県",2022年式,G リミテッド SAIII,"9,000km",鹿児島県,manen
daihatsu-mira-es,ミライース,root,root,1万km,10000,10000,15,9.7,95.4,47.2,45.0,30.5,51.9,95.4,2024年式 / X リミテッド SAIII / 1万km / 京都府,2024年式,X リミテッド SAIII,1万km,京都府,manen
daihatsu-mira-es,ミライース,root,root,"11,000km",11000,11000,10,5.0,89.6,50.5,53.3,31.3,75.0,89.6,"2025年式 / X SAIII / 11,000km / 愛知県",2025年式,X SAIII,"11,000km",愛知県,manen
daihatsu-mira-es,ミライース,root,root,"12,000km",12000,12000,13,6.4,79.8,49.5,62.7,22.1,67.5,79.8,"2023年式 / L SAIII 4WD / 12,000km / 徳島県",2023年式,L SAIII 4WD,"12,000km",徳島県,manen
daihatsu-mira-es,ミライース,root,root,"13,000km",13000,13000,10,27.0,94.0,57.9,54.5,43.7,71.9,94.0,"2022年式 / X リミテッド SAIII 4WD / 13,000km / 沖縄県",2022年式,X リミテッド SAIII 4WD,"13,000km",沖縄県,manen
daihatsu-mira-es,ミライース,root,root,"14,000km",14000,14000,15,10.6,79.5,49.7,55.6,34.4,59.7,79.5,"2020年式 / G リミテッド SAIII 4WD / 14,000km / 山梨県",2020年式,G リミテッド SAIII 4WD,"14,000km",山梨県,manen
daihatsu-mira-es,ミライース,root,root,"15,000km",15000,15000,12,5.0,95.0,45.4,41.2,34.5,52.5,95.0,"2022年式 / X リミテッド SAIII / 15,000km / 京都府",2022年式,X リミテッド SAIII,"15,000km",京都府,manen
daihatsu-mira-es,ミライース,root,root,"16,000km",16000,16000,17,14.1,89.2,41.4,34.3,28.0,54.0,89.2,"2022年式 / X リミテッド SAIII / 16,000km / 茨城県",2022年式,X リミテッド SAIII,"16,000km",茨城県,manen
daihatsu-mira-es,ミライース,root,root,"17,000km",17000,17000,7,9.1,91.0,49.8,41.2,27.9,72.5,91.0,"2022年式 / X リミテッド SAIII / 17,000km / 山口県",2022年式,X リミテッド SAIII,"17,000km",山口県,manen
daihatsu-mira-es,ミライース,root,root,"18,000km",18000,18000,14,8.5,81.0,47.9,51.8,35.2,62.0,81.0,"2023年式 / L SAIII / 18,000km / 山形県",2023年式,L SAIII,"18,000km",山形県,manen
daihatsu-mira-es,ミライース,root,root,"19,000km",19000,19000,15,19.9,86.3,48.1,44.5,32.8,58.4,86.3,"2022年式 / G リミテッド SAIII / 19,000km / 佐賀県",2022年式,G リミテッド SAIII,"19,000km",佐賀県,manen
daihatsu-mira-es,ミライース,root,root,2万km,20000,20000,10,21.0,74.3,40.0,39.5,23.7,48.0,74.3,2023年式 / L SAIII / 2万km / 福島県,2023年式,L SAIII,2万km,福島県,manen
daihatsu-mira-es,ミライース,root,root,"21,000km",21000,21000,12,10.7,71.5,40.2,37.3,30.7,49.7,71.5,"2023年式 / L SAIII / 21,000km / 山梨県",2023年式,L SAIII,"21,000km",山梨県,manen
daihatsu-mira-es,ミライース,root,root,"22,000km",22000,22000,13,7.0,76.5,38.7,37.6,30.4,51.0,76.5,"2023年式 / L SAIII 4WD / 22,000km / 鳥取県",2023年式,L SAIII 4WD,"22,000km",鳥取県,manen
daihatsu-mira-es,ミライース,root,root,"23,000km",23000,23000,12,5.0,57.2,32.8,35.0,22.5,44.0,57.2,"2017年式 / G SAIII / 23,000km / 東京都",2017年式,G SAIII,"23,000km",東京都,manen
daihatsu-mira-es,ミライース,root,root,"24,000km",24000,24000,10,8.1,78.9,51.2,53.8,38.0,67.5,78.9,"2021年式 / L SAIII / 24,000km / 富山県",2021年式,L SAIII,"24,000km",富山県,manen
daihatsu-mira-es,ミライース,root,root,"25,000km",25000,25000,11,5.0,93.0,40.9,33.1,26.9,65.9,93.0,"2022年式 / G リミテッド SAIII / 25,000km / 群馬県",2022年式,G リミテッド SAIII,"25,000km",群馬県,manen
daihatsu-mira-es,ミライース,root,root,"26,000km",26000,26000,12,7.4,75.0,37.1,30.4,23.6,51.4,75.0,"2020年式 / X リミテッド SAIII 4WD / 26,000km / 福井県",2020年式,X リミテッド SAIII 4WD,"26,000km",福井県,manen
daihatsu-mira-es,ミライース,root,root,"27,000km",27000,27000,15,5.0,60.3,31.4,29.0,23.0,38.5,60.3,"2021年式 / L / 27,000km / 茨城県",2021年式,L,"27,000km",茨城県,manen
daihatsu-mira-es,ミライース,root,root,"28,000km",28000,28000,6,6.4,61.5,34.3,32.3,22.1,51.2,61.5,"2021年式 / L SAIII 4WD / 28,000km / 佐賀県",2021年式,L SAIII 4WD,"28,000km",佐賀県,manen
daihatsu-mira-es,ミライース,root,root,"29,000km",29000,29000,7,19.9,65.9,38.0,26.8,26.0,52.5,65.9,"2023年式 / L SAIII 4WD / 29,000km / 島根県",2023年式,L SAIII 4WD,"29,000km",島根県,manen
daihatsu-mira-es,ミライース,root,root,3万km,30000,30000,19,5.0,75.5,36.2,33.4,20.0,46.0,75.5,2023年式 / X リミテッド SAIII / 3万km / 岩手県,2023年式,X リミテッド SAIII,3万km,岩手県,manen
daihatsu-mira-es,ミライース,root,root,"31,000km",31000,31000,12,5.0,68.5,30.7,28.1,17.4,47.1,68.5,"2023年式 / B SAIII / 31,000km / 大分県",2023年式,B SAIII,"31,000km",大分県,manen
daihatsu-mira-es,ミライース,root,root,"32,000km",32000,32000,16,5.0,45.3,22.4,25.1,16.3,28.0,45.3,"2019年式 / L SAIII 4WD / 32,000km / 秋田県",2019年式,L SAIII 4WD,"32,000km",秋田県,manen
daihatsu-mira-es,ミライース,root,root,"33,000km",33000,33000,17,13.8,85.5,35.7,25.0,22.0,47.3,85.5,"2022年式 / X SAIII / 33,000km / 茨城県",2022年式,X SAIII,"33,000km",茨城県,manen
daihatsu-mira-es,ミライース,root,root,"34,000km",34000,34000,15,5.0,74.1,25.6,22.0,14.1,27.5,74.1,"2020年式 / X リミテッド SAIII 4WD / 34,000km / 栃木県",2020年式,X リミテッド SAIII 4WD,"34,000km",栃木県,manen
daihatsu-mira-es,ミライース,root,root,"35,000km",35000,35000,8,19.0,69.4,29.1,22.6,20.4,29.9,69.4,"2022年式 / L SAIII / 35,000km / 新潟県",2022年式,L SAIII,"35,000km",新潟県,manen
daihatsu-mira-es,ミライース,root,root,"36,000km",36000,36000,13,20.1,45.5,31.4,31.0,25.5,34.5,45.5,"2019年式 / L SAIII 4WD / 36,000km / 滋賀県",2019年式,L SAIII 4WD,"36,000km",滋賀県,manen
daihatsu-mira-es,ミライース,root,root,"37,000km",37000,37000,9,5.0,65.5,31.4,25.8,20.4,47.0,65.5,"2020年式 / X リミテッド SAIII / 37,000km / 福井県",2020年式,X リミテッド SAIII,"37,000km",福井県,manen
daihatsu-mira-es,ミライース,root,root,"38,000km",38000,38000,10,8.5,62.7,29.9,25.0,17.1,41.6,62.7,"2022年式 / L SAIII 10th アニバーサリーエディション / 38,000km / 富山県",2022年式,L SAIII 10th アニバーサリーエディション,"38,000km",富山県,manen
daihatsu-mira-es,ミライース,root,root,"39,000km",39000,39000,12,6.2,55.2,30.7,30.4,21.5,33.0,55.2,"2021年式 / L SAIII 4WD / 39,000km / 富山県",2021年式,L SAIII 4WD,"39,000km",富山県,manen
daihatsu-mira-es,ミライース,root,root,4万km,40000,40000,13,17.0,49.5,26.2,23.3,21.5,27.7,49.5,2019年式 / X リミテッド SAIII / 4万km / 石川県,2019年式,X リミテッド SAIII,4万km,石川県,manen
daihatsu-mira-es,ミライース,root,root,"41,000km",41000,41000,11,5.8,48.6,22.7,20.5,13.2,37.9,48.6,"2018年式 / G リミテッド SAIII / 41,000km / 兵庫県",2018年式,G リミテッド SAIII,"41,000km",兵庫県,manen
daihatsu-mira-es,ミライース,root,root,"42,000km",42000,42000,16,5.0,70.0,34.3,28.8,22.7,39.9,70.0,"2020年式 / X リミテッド SAIII / 42,000km / 愛媛県",2020年式,X リミテッド SAIII,"42,000km",愛媛県,manen
daihatsu-mira-es,ミライース,root,root,"43,000km",43000,43000,9,21.5,46.0,31.5,30.9,24.1,38.5,46.0,"2019年式 / X SAIII / 43,000km / 三重県",2019年式,X SAIII,"43,000km",三重県,manen
