model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
subaru-legacy-b4,レガシィB4,root,root,0万km,0,0,8,16.5,61.5,25.0,19.0,18.0,19.5,61.5,2008年式 / 2.0 GT 4WD / 0万km / 愛知県,2008年式,2.0 GT 4WD,0万km,愛知県,manen
subaru-legacy-b4,レガシィB4,root,root,"9,000km",9000,9000,1,16.5,16.5,16.5,16.5,16.5,16.5,16.5,"2006年式 / 2.0 R Bスポーツ 4WD / 9,000km / 広島県",2006年式,2.0 R Bスポーツ 4WD,"9,000km",広島県,manen
subaru-legacy-b4,レガシィB4,root,root,"13,000km",13000,13000,1,47.5,47.5,47.5,47.5,47.5,47.5,47.5,"2013年式 / 2.5 i Lパッケージ 4WD / 13,000km / 神奈川県",2013年式,2.5 i Lパッケージ 4WD,"13,000km",神奈川県,manen
subaru-legacy-b4,レガシィB4,root,root,"15,000km",15000,15000,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,"2011年式 / 2.5 GT アイサイト Sパッケージ 4WD / 15,000km / 千葉県",2011年式,2.5 GT アイサイト Sパッケージ 4WD,"15,000km",千葉県,manen
subaru-legacy-b4,レガシィB4,root,root,"18,000km",18000,18000,1,38.0,38.0,38.0,38.0,38.0,38.0,38.0,"2014年式 / 2.5 i Bスポーツ アイサイト Gパッケージ 4WD / 18,000km / 埼玉県",2014年式,2.5 i Bスポーツ アイサイト Gパッケージ 4WD,"18,000km",埼玉県,manen
subaru-legacy-b4,レガシィB4,root,root,"21,000km",21000,21000,1,46.5,46.5,46.5,46.5,46.5,46.5,46.5,"2013年式 / 2.5 i Bスポーツ アイサイト 4WD / 21,000km / 山口県",2013年式,2.5 i Bスポーツ アイサイト 4WD,"21,000km",山口県,manen
subaru-legacy-b4,レガシィB4,root,root,"22,000km",22000,22000,1,79.7,79.7,79.7,79.7,79.7,79.7,79.7,"2014年式 / 2.5 i Bスポーツ アイサイト 4WD / 22,000km / 宮城県",2014年式,2.5 i Bスポーツ アイサイト 4WD,"22,000km",宮城県,manen
subaru-legacy-b4,レガシィB4,root,root,"24,000km",24000,24000,2,22.1,30.0,26.1,26.1,22.1,30.0,30.0,"2013年式 / 2.5 i アイサイト 4WD / 24,000km / 埼玉県",2013年式,2.5 i アイサイト 4WD,"24,000km",埼玉県,manen
subaru-legacy-b4,レガシィB4,root,root,"26,000km",26000,26000,1,28.2,28.2,28.2,28.2,28.2,28.2,28.2,"2011年式 / 2.5 i アイサイト 4WD / 26,000km / 千葉県",2011年式,2.5 i アイサイト 4WD,"26,000km",千葉県,manen
subaru-legacy-b4,レガシィB4,root,root,"27,000km",27000,27000,1,88.7,88.7,88.7,88.7,88.7,88.7,88.7,"2003年式 / 2.0 RSK リミテッドII 4WD / 27,000km / 富山県",2003年式,2.0 RSK リミテッドII 4WD,"27,000km",富山県,manen
subaru-legacy-b4,レガシィB4,root,root,"29,000km",29000,29000,2,22.2,71.9,47.0,47.0,22.2,71.9,71.9,"2012年式 / 2.0 GT DIT 4WD / 29,000km / 熊本県",2012年式,2.0 GT DIT 4WD,"29,000km",熊本県,manen
subaru-legacy-b4,レガシィB4,root,root,3万km,30000,30000,7,18.2,94.5,36.5,31.1,26.1,31.2,94.5,2018年式 / 2.5 リミテッド 4WD / 3万km / 山梨県,2018年式,2.5 リミテッド 4WD,3万km,山梨県,manen
subaru-legacy-b4,レガシィB4,root,root,"31,000km",31000,31000,2,19.5,102.0,60.8,60.8,19.5,102.0,102.0,"2018年式 / 2.5 リミテッド 4WD / 31,000km / 千葉県",2018年式,2.5 リミテッド 4WD,"31,000km",千葉県,manen
subaru-legacy-b4,レガシィB4,root,root,"32,000km",32000,32000,2,17.0,120.0,68.5,68.5,17.0,120.0,120.0,"2017年式 / 2.5 リミテッド 4WD / 32,000km / 宮崎県",2017年式,2.5 リミテッド 4WD,"32,000km",宮崎県,manen
subaru-legacy-b4,レガシィB4,root,root,"33,000km",33000,33000,1,25.5,25.5,25.5,25.5,25.5,25.5,25.5,"2012年式 / 2.5 i アイサイト 4WD / 33,000km / 新潟県",2012年式,2.5 i アイサイト 4WD,"33,000km",新潟県,manen
subaru-legacy-b4,レガシィB4,root,root,"34,000km",34000,34000,1,30.9,30.9,30.9,30.9,30.9,30.9,30.9,"2010年式 / 2.5 i アイサイト 4WD / 34,000km / 京都府",2010年式,2.5 i アイサイト 4WD,"34,000km",京都府,manen
subaru-legacy-b4,レガシィB4,root,root,"35,000km",35000,35000,1,31.9,31.9,31.9,31.9,31.9,31.9,31.9,"2002年式 / 3.0 ブリッツェン6 4WD / 35,000km / 三重県",2002年式,3.0 ブリッツェン6 4WD,"35,000km",三重県,manen
subaru-legacy-b4,レガシィB4,root,root,"36,000km",36000,36000,1,26.8,26.8,26.8,26.8,26.8,26.8,26.8,"2012年式 / 2.5 i Lパッケージ 4WD / 36,000km / 栃木県",2012年式,2.5 i Lパッケージ 4WD,"36,000km",栃木県,manen
subaru-legacy-b4,レガシィB4,root,root,"37,000km",37000,37000,4,19.0,104.5,60.2,58.6,22.2,95.0,104.5,"2016年式 / 2.5 リミテッド 4WD / 37,000km / 宮城県",2016年式,2.5 リミテッド 4WD,"37,000km",宮城県,manen
subaru-legacy-b4,レガシィB4,root,root,"38,000km",38000,38000,6,5.8,88.5,36.4,23.6,9.7,67.0,88.5,"2015年式 / 2.5 リミテッド 4WD / 38,000km / 大阪府",2015年式,2.5 リミテッド 4WD,"38,000km",大阪府,manen
subaru-legacy-b4,レガシィB4,root,root,"39,000km",39000,39000,4,19.9,48.0,34.5,35.0,22.0,48.0,48.0,"2006年式 / 2.0 GT スペックB 4WD / 39,000km / 岡山県",2006年式,2.0 GT スペックB 4WD,"39,000km",岡山県,manen
subaru-legacy-b4,レガシィB4,root,root,4万km,40000,40000,6,5.0,49.5,35.7,40.9,34.4,43.5,49.5,2001年式 / 2.0 ブリッツェン 2001モデル 4WD / 4万km / 福井県,2001年式,2.0 ブリッツェン 2001モデル 4WD,4万km,福井県,manen
subaru-legacy-b4,レガシィB4,root,root,"41,000km",41000,41000,2,33.1,120.0,76.5,76.5,33.1,120.0,120.0,"2017年式 / 2.5 リミテッド 4WD / 41,000km / 岩手県",2017年式,2.5 リミテッド 4WD,"41,000km",岩手県,manen
subaru-legacy-b4,レガシィB4,root,root,"42,000km",42000,42000,8,20.2,117.0,51.9,31.9,21.7,57.0,117.0,"2015年式 / 2.5 リミテッド 4WD / 42,000km / 茨城県",2015年式,2.5 リミテッド 4WD,"42,000km",茨城県,manen
subaru-legacy-b4,レガシィB4,root,root,"43,000km",43000,43000,2,30.5,34.0,32.2,32.2,30.5,34.0,34.0,"2009年式 / 2.5 i Sパッケージ 4WD / 43,000km / 山口県",2009年式,2.5 i Sパッケージ 4WD,"43,000km",山口県,manen
subaru-legacy-b4,レガシィB4,root,root,"44,000km",44000,44000,3,38.7,111.7,67.0,50.5,38.7,111.7,111.7,"2018年式 / 2.5 リミテッド 4WD / 44,000km / 長野県",2018年式,2.5 リミテッド 4WD,"44,000km",長野県,manen
subaru-legacy-b4,レガシィB4,root,root,"45,000km",45000,45000,2,12.2,51.0,31.6,31.6,12.2,51.0,51.0,"2012年式 / 2.5 i アイサイト 4WD / 45,000km / 石川県",2012年式,2.5 i アイサイト 4WD,"45,000km",石川県,manen
